"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"485521429568290816","","","2014-07-05 20:31:44 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","#worldcup2014 watching at San Diego Yacht Club bar - but #wimbleton2014 on the other. http://t.co/QjUeCK1a4X","","","","http://twitter.com/rogershowley/status/485521429568290816/photo/1"
"485271564212924416","","","2014-07-05 03:58:51 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">Twitter MMS</a>","And the dog http://t.co/CH6jmcSxQp","","","","http://twitter.com/rogershowley/status/485271564212924416/photo/1"
"485270834043297793","","","2014-07-05 03:55:57 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">Twitter MMS</a>","Yes and the food http://t.co/ZPJqtgS5Oz","","","","http://twitter.com/rogershowley/status/485270834043297793/photo/1"
"485270476571152385","","","2014-07-05 03:54:32 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","SD Mayor Faulconer chats with friends minutes before Big Bay Boom. http://t.co/QqIuv6rxr1","","","","http://twitter.com/rogershowley/status/485270476571152385/photo/1"
"485268007459889152","","","2014-07-05 03:44:43 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Some kids focused on cellphone games instead of the #bigbay boom. http://t.co/u8AWbW726b","","","","http://twitter.com/rogershowley/status/485268007459889152/photo/1"
"485258474398314496","","","2014-07-05 03:06:50 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","View of  #bigbayboom site from producer Sandy Purdon's house. http://t.co/k5xcnDdmrI","","","","http://twitter.com/rogershowley/status/485258474398314496/photo/1"
"485103018241560576","","","2014-07-04 16:49:06 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Jamie checks in at #old pros bike race aid station off Lake Hodges. Now to beer garden in Scripps Ranch http://t.co/Rs0NKwXPLE","","","","http://twitter.com/rogershowley/status/485103018241560576/photo/1"
"485097969427816449","","","2014-07-04 16:29:03 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Riders grab oranges and bananas - and a few donuts on Old Pros bike race from Scripps Ranch. http://t.co/mUJ86RuZdY","","","","http://twitter.com/rogershowley/status/485097969427816449/photo/1"
"485083561486082048","","","2014-07-04 15:31:48 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","#scrippsrancholdpros 50 mile bikers reach del dios aid station . http://t.co/WrJ7ldAXmn","","","","http://twitter.com/rogershowley/status/485083561486082048/photo/1"
"484591510348779520","484563001404436481","161669450","2014-07-03 06:56:34 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","“@SDuncovered: @rogershowley Man, @DonutBar_SD gets so much publicity..."" : this after #wallstreetjournal swooned sat. over our wine, food.","","","",""
"484557400058249216","","","2014-07-03 04:41:01 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @conradhackett: Half of all Americans live in the blue counties, half live in the grey counties

http://t.co/0TeQdBGpmI http://t.co/TH1Y…","484539786804203520","71643224","2014-07-03 03:31:02 +0000","http://www.businessinsider.com/half-of-the-united-states-lives-in-these-counties-2013-9,http://twitter.com/conradhackett/status/484539786804203520/photo/1,http://www.businessinsider.com/half-of-the-united-states-lives-in-these-counties-2013-9,http://twitter.com/conradhackett/status/484539786804203520/photo/1"
"484557006330540033","","","2014-07-03 04:39:27 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","#wired magazine does San Diego sans #comiccon http://t.co/iQypzEimid","","","","http://twitter.com/rogershowley/status/484557006330540033/photo/1"
"484202515961884673","","","2014-07-02 05:10:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ultimate in  #publicart. http://t.co/LeQNwPBGR5","","","","http://www.citylab.com/design/2014/07/this-perspective-skewing-public-artwork-encompasses-99-buildings/373747/"
